Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate
,"Autauga County, AL",1001.0,2018.0,2018.0,10.0,55601,0.02
,"Autauga County, AL",1001.0,2019.0,2019.0,10.0,55869,0.02
,"Autauga County, AL",1001.0,2020.0,2020.0,11.0,56145,0.02
,"Autauga County, AL",1001.0,2021.0,2021.0,0.0,59095,0.02
,"Autauga County, AL",1001.0,2022.0,2022.0,0.0,59759,0.02
,"Autauga County, AL",1001.0,2023.0,2023.0,0.0,60342,0.02
,"Baldwin County, AL",1003.0,2018.0,2018.0,25.0,218022,11.47
,"Baldwin County, AL",1003.0,2019.0,2019.0,31.0,223234,13.89
,"Baldwin County, AL",1003.0,2020.0,2020.0,57.0,229287,24.86
,"Baldwin County, AL",1003.0,2021.0,2021.0,84.0,239294,35.10
,"Baldwin County, AL",1003.0,2022.0,2022.0,74.0,246435,30.03
,"Baldwin County, AL",1003.0,2023.0,2023.0,72.0,253507,28.40
,"Barbour County, AL",1005.0,2018.0,2018.0,12.0,24881,0.05
,"Barbour County, AL",1005.0,2019.0,2019.0,9.0,24686,0.04
,"Barbour County, AL",1005.0,2020.0,2020.0,9.0,24589,0.04
,"Barbour County, AL",1005.0,2021.0,2021.0,12.0,24964,0.05
,"Barbour County, AL",1005.0,2022.0,2022.0,0.0,24706,0.05
,"Barbour County, AL",1005.0,2023.0,2023.0,11.0,24585,0.04
,"Bibb County, AL",1007.0,2018.0,2018.0,11.0,22400,0.05
,"Bibb County, AL",1007.0,2019.0,2019.0,10.0,22394,0.04
,"Bibb County, AL",1007.0,2020.0,2020.0,9.0,22136,0.04
,"Bibb County, AL",1007.0,2021.0,2021.0,10.0,22477,0.04
,"Bibb County, AL",1007.0,2022.0,2022.0,9.0,22005,0.04
,"Bibb County, AL",1007.0,2023.0,2023.0,0.0,21868,0.05
,"Blount County, AL",1009.0,2018.0,2018.0,15.0,57840,0.03
,"Blount County, AL",1009.0,2019.0,2019.0,15.0,57826,0.03
,"Blount County, AL",1009.0,2020.0,2020.0,7.4,57879,12.85
,"Blount County, AL",1009.0,2021.0,2021.0,6.4,59041,10.90
,"Blount County, AL",1009.0,2022.0,2022.0,6.7,59512,11.21
,"Blount County, AL",1009.0,2023.0,2023.0,21.0,59816,35.11
,"Bullock County, AL",1011.0,2018.0,2018.0,6.0,10138,0.05
,"Bullock County, AL",1011.0,2019.0,2019.0,6.0,10101,0.06
,"Bullock County, AL",1011.0,2020.0,2020.0,5.0,9976,0.05
,"Bullock County, AL",1011.0,2021.0,2021.0,0.0,10320,0.05
,"Bullock County, AL",1011.0,2022.0,2022.0,5.0,10202,0.05
,"Bullock County, AL",1011.0,2023.0,2023.0,0.0,9897,0.05
,"Butler County, AL",1013.0,2018.0,2018.0,0.0,19680,0.00
,"Butler County, AL",1013.0,2019.0,2019.0,0.0,19448,0.00
,"Butler County, AL",1013.0,2020.0,2020.0,0.0,19504,0.00
,"Butler County, AL",1013.0,2021.0,2021.0,0.0,18884,0.00
,"Butler County, AL",1013.0,2022.0,2022.0,0.0,18650,0.00
,"Butler County, AL",1013.0,2023.0,2023.0,0.0,18382,0.00
,"Calhoun County, AL",1015.0,2018.0,2018.0,40.1,114277,35.07
,"Calhoun County, AL",1015.0,2019.0,2019.0,22.0,113605,19.37
,"Calhoun County, AL",1015.0,2020.0,2020.0,30.0,113469,26.44
,"Calhoun County, AL",1015.0,2021.0,2021.0,37.0,115972,31.90
,"Calhoun County, AL",1015.0,2022.0,2022.0,59.0,115788,50.96
,"Calhoun County, AL",1015.0,2023.0,2023.0,62.0,116429,53.25
,"Chambers County, AL",1017.0,2018.0,2018.0,13.0,33615,0.04
,"Chambers County, AL",1017.0,2019.0,2019.0,9.0,33254,0.03
,"Chambers County, AL",1017.0,2020.0,2020.0,11.0,32865,0.03
,"Chambers County, AL",1017.0,2021.0,2021.0,0.0,34541,0.03
,"Chambers County, AL",1017.0,2022.0,2022.0,10.0,34088,0.03
,"Chambers County, AL",1017.0,2023.0,2023.0,0.0,34079,0.03
,"Cherokee County, AL",1019.0,2018.0,2018.0,11.0,26032,0.04
,"Cherokee County, AL",1019.0,2019.0,2019.0,11.0,26196,0.04
,"Cherokee County, AL",1019.0,2020.0,2020.0,9.0,26294,0.03
,"Cherokee County, AL",1019.0,2021.0,2021.0,10.0,24996,0.04
,"Cherokee County, AL",1019.0,2022.0,2022.0,9.0,25302,0.03
