"FIPS","Year","Deaths","Population","AgeAdjustedRate"
"1001","2019","9.0","88331.0","15.34816260416786"
"1001","2020","","",""
"1001","2021","10.0","87634.0","9.390488928744931"
"1001","2022","18.0","65400.0","10.591667792307724"
"1001","2023","","",""
"1003","2019","","",""
"1003","2020","","",""
"1003","2021","23.0","15549.0","13.58704811870632"
"1003","2022","","",""
"1003","2023","21.0","58817.0","9.19021654422406"
"1005","2019","15.0","80075.0","12.91185279253101"
"1005","2020","17.0","28237.0","17.566646530899494"
"1005","2021","18.0","76341.0","16.02441725568292"
"1005","2022","7.0","78074.0","11.409211594155918"
"1005","2023","12.0","85596.0","12.99932596910154"
"1007","2019","13.0","45560.0","16.02066953927131"
"1007","2020","21.0","73061.0","16.682664335952524"
"1007","2021","21.0","73193.0","12.980574955262997"
"1007","2022","7.0","38508.0","18.376835893171418"
"1007","2023","25.0","15395.0","19.571674349662946"
"1009","2019","16.0","33142.0","15.27386330828788"
"1009","2020","12.0","37289.0","8.940609504764367"
"1009","2021","20.0","62285.0","9.853366813184518"
"1009","2022","20.0","78517.0","11.385283158226652"
"1009","2023","2.0","47756.0","18.11127157240417"
"1011","2019","15.0","70159.0","18.037582130143782"
"1011","2020","9.0","24208.0","19.1918955826021"
"1011","2021","","",""
"1011","2022","","",""
"1011","2023","","",""
"1013","2019","4.0","97566.0","18.18450573564075"
"1013","2020","9.0","43759.0","18.42336153005221"
"1013","2021","2.0","81852.0","19.00615347514195"
"1013","2022","12.0","22472.0","8.164097720065794"
"1013","2023","12.0","79854.0","17.08433808300755"
"1015","2019","9.0","17730.0","14.395424594169311"
"1015","2020","","",""
"1015","2021","2.0","27942.0","13.96970206150086"
"1015","2022","25.0","46103.0","11.860026140344122"
"1015","2023","21.0","60842.0","10.710592684667256"
"1017","2019","","",""
"1017","2020","18.0","75130.0","9.546134266854336"
"1017","2021","","",""
"1017","2022","5.0","95412.0","13.636296644622488"
"1017","2023","12.0","45713.0","16.06266589193845"
"1019","2019","5.0","31114.0","18.348597390973932"
"1019","2020","17.0","40845.0","8.019166138925534"
"1019","2021","17.0","19404.0","10.477030425453943"
"1019","2022","","",""
"1019","2023","","",""
