"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate
,"Autauga County, AL","01001","2018","2018",11,55601,Unreliable
,"Autauga County, AL","01001","2019","2019",Suppressed,55869,Suppressed
,"Autauga County, AL","01001","2020","2020",Suppressed,56145,Suppressed
,"Autauga County, AL","01001","2021","2021",13,59095,Unreliable
,"Autauga County, AL","01001","2022","2022",Suppressed,59759,Suppressed
,"Autauga County, AL","01001","2023 ","2023",10,60342,Unreliable
,"Baldwin County, AL","01003","2018","2018",44,218022,20.181449579
,"Baldwin County, AL","01003","2019","2019",39,223234,17.470457009
,"Baldwin County, AL","01003","2020","2020",51,229287,22.242865928
,"Baldwin County, AL","01003","2021","2021",41,239294,17.133735071
,"Baldwin County, AL","01003","2022","2022",47,246435,19.071966239
,"Baldwin County, AL","01003","2023 ","2023",51,253507,20.117787675
,"Barbour County, AL","01005","2018","2018",Suppressed,24881,Suppressed
,"Barbour County, AL","01005","2019","2019",Suppressed,24686,Suppressed
,"Barbour County, AL","01005","2020","2020",Suppressed,24589,Suppressed
,"Barbour County, AL","01005","2021","2021",Suppressed,24964,Suppressed
,"Barbour County, AL","01005","2022","2022",Suppressed,24706,Suppressed
,"Barbour County, AL","01005","2023 ","2023",Suppressed,24585,Suppressed
,"Bibb County, AL","01007","2018","2018",Suppressed,22400,Suppressed
,"Bibb County, AL","01007","2019","2019",Suppressed,22394,Suppressed
,"Bibb County, AL","01007","2020","2020",Suppressed,22136,Suppressed
,"Bibb County, AL","01007","2021","2021",Suppressed,22477,Suppressed
,"Bibb County, AL","01007","2022","2022",Suppressed,22005,Suppressed
,"Bibb County, AL","01007","2023 ","2023",Suppressed,21868,Suppressed
,"Blount County, AL","01009","2018","2018",10,57840,Unreliable
,"Blount County, AL","01009","2019","2019",16,57826,Unreliable
,"Blount County, AL","01009","2020","2020",13,57879,Unreliable
,"Blount County, AL","01009","2021","2021",14,59041,Unreliable
,"Blount County, AL","01009","2022","2022",14,59512,Unreliable
,"Blount County, AL","01009","2023 ","2023",12,59816,Unreliable
,"Bullock County, AL","01011","2018","2018",Suppressed,10138,Suppressed
,"Bullock County, AL","01011","2019","2019",Suppressed,10101,Suppressed
,"Bullock County, AL","01011","2020","2020",0,9976,Unreliable
,"Bullock County, AL","01011","2021","2021",Suppressed,10320,Suppressed
,"Bullock County, AL","01011","2022","2022",Suppressed,10202,Suppressed
