fips,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,RepublicanMargin,RepublicanVoteShare,DemocratVoteShare,UnemploymentRate,PovertyRate,MedianIncome,PerCapitaIncome,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,Rent,correlation,n_years,state_fips
0,,,,,,,,4.73,,,,,,,,,,,,0
1000,,,,,,,,3.65,,,,,,,,,,,,10
1001,10.0,,11.33,,45.94,71.88,25.94,3.17,11.88,65097.5,46788.67,28.3,75.58,19.42,2.98,56996.67,1435.03,,3.0,10
1003,57.17,23.96,45.5,19.37,54.89,76.3,21.4,3.35,10.33,66700.67,53255.17,32.11,85.07,8.83,4.65,222199.5,1351.75,-0.93,6.0,10
1005,11.0,,,,6.96,53.0,46.03,5.12,26.45,39053.0,38085.17,11.72,46.15,47.35,4.57,25197.0,,,,10
1007,10.0,,,,56.87,77.75,20.88,3.78,19.98,50612.83,35390.33,11.16,76.27,21.8,2.73,22384.67,,,,10
1009,17.0,35.11,13.17,,80.3,89.49,9.19,2.92,13.5,56821.0,40275.83,13.9,93.33,1.38,9.43,58353.17,,,4.0,10
1011,5.5,,0.0,,-50.15,24.63,74.78,3.93,33.42,33054.33,31253.83,11.01,23.54,71.08,6.21,10302.5,,,,10
1013,0.0,,,,14.98,57.06,42.08,4.9,22.73,40933.33,42650.0,14.72,51.68,44.86,1.37,19453.67,,,,10
1015,37.5,36.38,22.5,22.18,39.67,68.79,29.12,4.3,18.17,49364.17,40431.0,18.86,72.93,21.36,3.91,115464.83,954.23,-0.76,6.0,10
1017,11.0,,,,15.35,56.99,41.63,3.82,18.73,43775.0,36913.83,13.35,57.1,40.1,2.73,34161.83,,,,10
1019,10.0,,11.0,,71.56,85.16,13.61,3.15,16.03,48980.0,41526.5,13.43,91.96,4.5,1.73,25484.0,,,,10
1021,13.0,,11.0,,67.01,82.9,15.89,3.18,15.63,54343.67,40236.33,13.66,82.12,9.33,7.93,44544.83,,,4.0,10
1023,0.0,,0.0,,15.0,57.14,42.14,4.95,22.32,42309.17,42787.33,12.71,56.74,41.47,0.81,12814.17,,,3.0,10
1025,,,0.0,,11.52,55.44,43.92,6.48,20.43,44993.67,41970.0,13.33,52.22,45.61,0.9,23640.5,,,,10
1027,0.0,,,,61.86,80.28,18.41,3.1,16.78,45539.67,36000.17,11.9,82.44,14.02,3.1,13767.0,,,,10
1029,0.0,,,,79.27,88.95,9.68,3.28,15.0,51074.67,40124.17,15.75,93.29,2.67,2.56,15023.33,,,3.0,10
1031,,,11.75,,54.09,76.06,21.97,3.27,15.13,58140.33,47557.83,22.31,74.18,16.95,7.79,52558.17,1020.87,,,10
1033,16.25,42.84,15.25,,38.58,68.31,29.73,4.27,15.33,52604.5,41736.83,18.03,78.58,16.11,2.95,55925.33,994.78,0.66,4.0,10
1035,0.0,,0.0,,6.65,52.94,46.29,4.82,24.75,37874.17,38358.0,12.74,50.27,48.09,0.59,12009.5,,,,10
1037,0.0,,0.0,,32.48,65.64,33.16,3.55,17.8,47688.5,36571.33,11.41,66.07,31.86,1.81,10568.0,,,,10
1039,12.0,,10.0,,68.13,83.53,15.4,3.65,18.32,44974.67,39219.83,15.71,84.14,12.66,1.82,37370.17,,,,10
1041,,,,,47.03,73.01,25.98,3.65,18.6,44103.17,42840.83,17.05,71.22,23.47,1.82,13540.83,,,,10
1043,24.83,36.39,17.83,24.85,77.31,87.78,10.48,2.83,14.07,54429.67,44467.67,16.02,93.46,1.16,4.46,85368.0,,0.71,6.0,10
1045,10.67,,12.25,,47.55,72.86,25.31,3.48,17.1,49045.33,41373.33,18.4,71.39,20.6,6.72,49363.0,1151.53,,3.0,10
1047,15.5,,,,-37.53,30.88,68.41,6.88,29.65,35529.67,39717.67,15.66,27.6,70.42,0.79,38862.67,,,,10
1049,20.0,30.09,16.0,34.96,69.48,83.87,14.4,3.13,19.07,46106.17,37314.67,13.74,84.07,1.48,14.92,71475.67,,0.19,6.0,10
1051,13.25,23.22,18.0,24.37,49.34,73.73,24.4,3.05,11.72,65489.33,45989.5,24.71,74.58,21.1,3.03,84402.67,1274.42,,4.0,10
1053,17.5,62.79,14.0,,36.9,67.85,30.95,4.17,21.75,43495.5,37353.0,12.55,61.9,31.3,2.44,36924.83,,0.63,6.0,10
1055,34.83,33.86,20.5,21.21,50.01,74.04,24.04,4.3,17.77,48353.5,40675.17,17.78,78.92,15.62,4.14,103095.33,,0.6,6.0,10
1057,10.0,,,,66.53,82.64,16.11,3.58,18.72,45660.83,39236.17,12.58,84.59,12.36,0.89,16407.33,,,,10
1059,12.0,,,,64.06,81.2,17.14,3.15,18.73,44907.17,38148.33,14.31,80.44,4.27,17.79,31775.17,,,,10
1061,,,10.0,,73.18,85.98,12.8,3.17,19.55,44265.17,39396.67,13.0,85.15,9.58,4.18,26531.5,,,,10
1063,0.0,,0.0,,-63.7,17.94,81.64,6.6,30.65,31854.17,36650.67,12.75,17.34,80.16,1.55,8039.0,,,5.0,10
1065,0.0,,,,-19.06,40.09,59.15,5.35,22.67,41063.67,41653.67,15.41,38.79,58.31,0.23,14792.17,,,,10
1067,0.0,,,,42.48,70.63,28.15,3.65,16.52,52406.5,48962.5,19.57,70.51,26.37,2.67,17184.83,,,,10
1069,16.67,22.21,20.67,21.08,44.13,71.12,26.99,3.58,17.25,52912.83,48575.83,22.0,67.87,27.14,3.44,105801.33,1133.98,-0.39,6.0,10
1071,11.5,,12.5,,65.65,81.96,16.32,3.52,16.78,47216.5,40750.5,15.48,90.59,3.46,3.06,52249.17,,,,10
1073,357.0,53.92,91.17,13.78,-11.19,43.17,54.36,3.65,16.0,58145.67,61545.17,34.27,51.11,42.81,3.99,665877.83,1064.06,-0.94,6.0,10
1075,0.0,,0.0,,71.06,85.09,14.02,3.47,16.93,45090.5,37461.33,11.02,86.81,10.99,1.18,13895.17,,,,10
1077,19.8,28.03,17.2,29.95,44.92,71.22,26.31,3.67,14.45,54054.67,42280.33,24.94,85.61,10.08,2.81,93335.17,1019.5,-0.85,5.0,10
1079,0.0,,12.0,,52.63,75.59,22.97,3.38,16.15,52127.5,39622.83,14.5,77.52,10.5,2.33,33086.5,,,,10
1081,19.67,16.6,23.5,14.36,20.94,58.89,37.95,3.27,17.22,56364.33,42736.83,37.46,69.49,22.66,3.77,167729.17,1187.07,-0.74,6.0,10
1083,11.33,,18.6,20.68,44.61,70.95,26.35,2.9,10.37,72436.5,49750.67,27.26,78.49,13.35,6.13,99052.5,1421.1,,3.0,10
1085,0.0,,0.0,,-46.21,26.64,72.85,7.68,26.78,37779.0,45260.33,15.2,24.73,74.72,0.36,10148.5,,,3.0,10
1087,,,0.0,,-64.92,17.0,81.92,5.48,29.35,36196.17,35748.67,20.64,16.24,81.13,1.37,19014.17,,,,10
1089,96.67,24.68,62.5,16.11,10.75,53.44,42.69,3.0,10.98,74193.0,57995.33,43.79,66.81,24.36,5.09,374872.17,1115.85,-0.9,6.0,10
1091,,,,,-2.05,48.55,50.59,4.37,22.45,42438.67,44494.83,18.71,45.63,52.01,2.1,19292.33,,,,10
1093,0.0,,,,77.13,87.87,10.74,3.57,18.13,44683.67,38892.17,12.59,92.08,3.77,2.62,29574.5,,,,10
1095,25.17,29.59,17.17,22.42,68.76,83.39,14.63,2.85,16.33,51781.83,42695.17,20.58,89.34,2.78,14.42,96658.33,,-0.66,6.0,10
1097,96.67,23.44,65.5,15.88,12.35,55.2,42.86,4.67,18.3,50610.33,44381.17,23.81,57.7,36.0,2.95,414187.67,949.4,-0.92,6.0,10
1099,,,0.0,,15.32,57.22,41.9,5.63,21.63,42697.0,39366.83,13.5,54.22,42.2,0.49,20589.17,,,,10
