fips,Year,PerCapitaIncome,UnemploymentRate,PovertyRate,MedianIncome,Rent,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,RepublicanVoteShare,DemocratVoteShare,RepublicanMargin,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,MentalHealthScore,state_fips
0,2018,,3.9,,,,,,,,,,,,,,,,,0
0,2019,,3.7,,,,,,,,,,,,,,,,,0
0,2020,,8.1,,,,,,,,,,,,,,,,,0
0,2021,,5.4,,,,,,,,,,,,,,,,,0
0,2022,,3.7,,,,,,,,,,,,,,,,,0
0,2023,,3.6,,,,,,,,,,,,,,,,,0
1000,2018,,3.9,,,,,,,,,,,,,,,,,10
1000,2019,,3.2,,,,,,,,,,,,,,,,,10
1000,2020,,6.4,,,,,,,,,,,,,,,,,10
1000,2021,,3.4,,,,,,,,,,,,,,,,,10
1000,2022,,2.5,,,,,,,,,,,,,,,,,10
1000,2023,,2.5,,,,,,,,,,,,,,,,,10
1001,2018,41062.0,3.6,13.8,59338.0,,27.68928590647366,76.8786231884058,19.139492753623188,2.768115942028986,55200.0,72.76658791494815,23.76967124494454,48.99691667000361,,,11.0,,24.93859367867065,10
1001,2019,42538.0,2.9,12.1,58233.0,,26.571573848582975,76.79126038280968,19.028530155290717,2.825929938605995,55380.0,72.76658791494815,23.76967124494454,48.99691667000361,,,,,24.93859367867065,10
1001,2020,45068.0,5.3,11.2,67565.0,,28.317485472794505,75.7562141663222,19.529466740955083,2.877478028001941,55639.0,71.4368023046453,27.018365142239823,44.41843716240547,,,,,24.93859367867065,10
1001,2021,49174.0,2.8,10.7,66444.0,1381.6542826945422,28.131468672691472,75.13006748055426,19.694706296468,3.0477858479712907,58239.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,13.0,,24.93859367867065,10
1001,2022,49811.0,2.2,11.8,70148.0,1428.4481460288423,29.558574698915095,74.44903932880652,19.563996528309595,3.172172018856044,58761.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,,,24.93859367867065,10
1001,2023,53079.0,2.2,11.7,68857.0,1494.997188455876,29.558574698915095,74.44903932880652,19.563996528309595,3.172172018856044,58761.0,71.4368023046453,27.018365142239823,44.41843716240547,10.0,,10.0,,24.93859367867065,10
1003,2018,45840.0,3.6,9.8,57588.0,1122.611632715332,31.345883025260395,86.26619959924462,9.497037581628682,4.494322632107521,208107.0,76.5457123352413,19.3856010082445,57.160111326996805,25.0,11.466732715,44.0,20.181449579,26.233383532588338,10
1003,2019,47921.0,2.9,10.1,59871.0,1170.037567360366,31.862459632590394,86.20542216792745,9.264671333928488,4.562796598223935,212830.0,76.5457123352413,19.3856010082445,57.160111326996805,31.0,13.88677352,39.0,17.470457009,26.233383532588338,10
1003,2020,50895.0,6.1,8.9,71135.0,1220.2791196479386,31.907330149200003,85.43902807745695,8.774148033112066,4.556803137125554,218289.0,76.17137282433283,22.409029987509005,53.762342836823834,57.0,24.859673684,51.0,22.242865928,26.233383532588338,10
1003,2021,56285.0,2.9,10.8,65658.0,1414.6144356801335,32.45028615173759,84.5476839357023,8.759262275955287,4.681879620131114,227131.0,76.17137282433283,22.409029987509005,53.762342836823834,84.0,35.103262096,41.0,17.133735071,26.233383532588338,10
1003,2022,57621.0,2.3,12.4,71704.0,1566.7520871052532,32.561578714181366,83.9679547596607,8.330477251306657,4.802501927855368,233420.0,76.17137282433283,22.409029987509005,53.762342836823834,74.0,30.028202163,47.0,19.071966239,26.233383532588338,10
1003,2023,60969.0,2.3,10.0,74248.0,1616.1954124692736,32.561578714181366,83.9679547596607,8.330477251306657,4.802501927855368,233420.0,76.17137282433283,22.409029987509005,53.762342836823834,72.0,28.401582599,51.0,20.117787675,26.233383532588338,10
1005,2018,33239.0,5.1,30.9,34382.0,,12.215924723490891,47.38189434489178,47.57582809712203,4.2898145993328685,25782.0,52.09666634826631,46.52784411118541,5.5688222370809015,,,,,19.888402340389817,10
1005,2019,34694.0,4.0,27.1,35972.0,,11.578712981518592,46.80020503923347,47.57698828910532,4.357083711210126,25361.0,52.09666634826631,46.52784411118541,5.5688222370809015,,,,,19.888402340389817,10
1005,2020,37062.0,7.7,25.5,38866.0,,11.614317019722426,46.29984815791577,47.66642691600735,4.4353871973147925,25026.0,53.45122646891044,45.78817265639856,7.663053812511883,,,,,19.888402340389817,10
1005,2021,40954.0,5.5,23.0,38649.0,,11.153098082800778,45.50853161249456,47.44843422146562,4.655766261530544,25259.0,53.45122646891044,45.78817265639856,7.663053812511883,,,,,19.888402340389817,10
1005,2022,41031.0,4.0,26.7,41151.0,,11.88118811881188,45.45966153475097,46.90276158700808,4.831772319813482,24877.0,53.45122646891044,45.78817265639856,7.663053812511883,11.0,,,,19.888402340389817,10
1005,2023,41531.0,4.4,25.5,45298.0,,11.88118811881188,45.45966153475097,46.90276158700808,4.831772319813482,24877.0,53.45122646891044,45.78817265639856,7.663053812511883,,,,,19.888402340389817,10
1007,2018,30030.0,4.0,21.8,46064.0,,11.489226869455006,76.65468104940739,22.275491632263503,2.428197274381853,22527.0,76.40322031976415,21.24957478172128,55.153645538042866,,,,,23.744128319561916,10
